i;velocidad;altitud
0;0;0
1;0;0
2;2.;
3;;0
4;18;0
5;36;0
6;53;0
7;70;0
8;88;0
9;106;0
10;.125;0
11;148;
12;163;0
13;183;0
14;202;0
15;221;0
16;240;0
17;259;0
18;278;0
19;297;
20;316;
21;335;
22;354;1
23;373;1
24;394;1
25;413;1
26;434;1
27;455;1
28;475;1
29;496;1
30;518;1
31;538;2
32;560;2
33;582;2
34;604;2
35;626;2
36;650;2
37;674;3
38;698;3
39;722;3
40;746;3
41;768;3
42;791;4
43;812;4
44;834;4
45;854;4
46;874;5
47;893;5
48;912;5
49;931;5
50;950;6
51;968;6
52;987;6
53;1006;6
54;1023;7
55;1040;7
56;1057;7
57;1074;7
58;1091;8
59;1107;8
60;1126;8
61;1144;9
62;1163;9
63;1184;9
64;1206;10
65;1226;10
66;1248;10
67;1269;1
68;1291;1
69;1314;1
70;1338;12
71;1362;12
72;1386;12
73;1412;13
74;1438;13
75;1464;13
76;1491;14
77;1517;14
78;1547;15
79;1575;15
80;1605;15
81;1634;16
82;1666;16
83;1699;17
84;1731;7
85;1765;7
86;1799;18
87;1832;18
88;1869;19
89;1903;19
90;1940;20
91;1978;20
92;2018;21
93;2057;21
94;2098;22
95;2138;22
96;2179;23
97;2227;23
98;2264;24
99;2307;24
100;2352;25
101;2396;25
102;2442;26
103;2488;26
104;2535;27
105;2581;27
106;2630;28
107;2680;29
108;2728;29
109;2777;30
110;2827;30
111;2878;31
112;2930;32
113;2981;32
114;3033;33
115;3085;34
116;3136;34
117;3189;35
118;3242;35
119;3295;36
120;3348;37
121;3399;37
122;3454;38
123;3508;39
124;3561;39
125;3616;40
126;3670;41
127;3725;41
128;3778;42
129;3832;43
130;3888;43
131;3944;44
132;3999;45
133;4055;46
134;4110;46
135;4166;47
136;4221;48
137;4276;49
138;4329;49
139;4383;50
140;4436;51
141;4491;52
142;4545;52
143;4598;53
144;4654;54
145;4707;55
146;4763;55
147;4818;56
148;4874;57
149;4931;58
150;4986;58
151;5042;59
152;5099;60
153;5156;61
154;5212;61
155;5267;62
156;5294;63
157;5289;64
158;5277;64
159;5265;65
160;5253;66
161;5233;66
162;5213;67
163;5204;68
164;5200;69
165;5192;69
166;5186;70
167;5193;71
168;5188;71
169;5160;72
170;5112;73
171;5039;73
172;4932;74
173;4803;75
174;4659;76
175;4535;76
176;7;77
177;4218;78
178;4068;78
179;3918;79
180;3775;79
181;3624;80
182;3474.;81
183;;81
184;3184;82
185;3040;82
186;2898;83
187;2754;83
188;2609;84
189;2476;84
190;2337;85
191;2208;85
192;2083;86
193;1962;86
194;1848;87
195;1747;87
196;1650;87
197;1563;88
198;1489;88
199;1428;89
200;1382;89
201;1349;89
202;1331;90
203;1327;90
204;1334;91
205;1352;91
206;1383;91
207;1426;92
208;1451;92
209;1447;92
210;1442;92
211;1438;93
212;1435;93
213;1434;93
214;1435;93
215;1437;94
216;1431;94
217;1412;94
218;1394;94
219;1375;95
220;1358;95
221;1342;95
222;1325;95
223;1310;95
224;1296;95
225;1281;96
226;1268;96
227;1255;96
228;1243;96
229;1232;96
230;1221;96
231;1212;96
232;1203;96
233;1196;96
234;1189;97
235;1183;97
236;1178;97
237;1175;97
238;1172;97
239;1170;97
240;1171;97
241;1172;97
242;1174;97
243;1177;97
244;1181;97
245;1185;97
246;1190;97
247;1196;96
248;1203;96
249;1211;96
250;1219;96
251;1229;96
252;1240;96
253;1252;96
254;1265;96
255;1279;96
256;1292;96
257;1308;95
258;1323;95
259;1339;95
260;1355;95
261;1372;95
262;1390;94
263;1408;94
264;1427;94
265;1447;94
266;1468;94
267;1489;93
268;1510;93
269;1532;93
270;1554;92
271;1575;92
272;1598;92
273;1622;92
274;1645;91
275;1669;91
276;1693;91
277;1718;90
278;1743;90
279;1768;90
280;1793;89
281;1818;89
282;1844;88
283;1871;88
284;1897;88
285;1925;87
286;1952;87
287;1978;86
288;2007;86
289;2034;85
290;2062;85
291;2090;84
292;2117;84
293;2146;83
294;2174;83
295;2203;82
296;2232;82
297;2261;81
298;2291;81
299;2320;80
300;2350;80
301;2379;79
302;2409;79
303;2438;78
304;2468;77
305;2498;77
306;2528;76
307;2558;76
308;2588;75
309;2618;74
310;2649;74
311;2679;73
312;2711;72
313;2742;72
314;2773;71
315;2804;70
316;2834;70
317;2865;69
318;2896;68
319;2927;67
320;2959;67
321;2990;66
322;3022;65
323;3054;64
324;3086;64
325;3118;63
326;3149;62
327;3187;61
328;3214;60
329;3245;60
330;3276;59
331;3309;58
332;3340;57
333;3373;56
334;3404;55
335;3437;54
336;3470;53
337;3502;53
338;3534;52
339;3566;51
340;3598;50
341;3630;49
342;3663;48
343;3695;47
344;3728;46
345;3760;45
346;3792;44
347;3824;43
348;3855;42
349;3886;41
350;3917;40
351;3947;39
352;3977;38
353;4007;37
354;4035;36
355;4063;35
356;4091;33
357;4116;32
358;4141;31
359;4161;30
360;4180;29
361;4195;28
362;4205;27
363;4211;26
364;4212;24
365;4207;23
366;4192;22
367;4168;21
368;4133;20
369;4083;19
370;4019;18
371;3933;7
372;3832;16
373;3711;15
374;3580;14
375;3440;13
376;3294;12
377;3148;1
378;2992;10
379;2842;9
380;2692;9
381;2550;8
382;2403;7
383;2263;7
384;2128;6
385;2012;5
386;1908;5
387;1806;4
388;1720;4
389;1643;3
390;1566;3
391;1493;3
392;1436;2
393;1385;2
394;1340;2
395;1301;1
396;1244;1
397;1123;1
398;945;0
399;730;0
400;503;0
401;288;0
402;175;0
403;149;0
404;133;0
405;119;0
406;108;0
407;96;0
408;84;0
409;71;0
410;59;0
411;47;0
412;32;0
413;17;0
414;6;0
415;6;0
416;1;0
417;20;0
418;38;0
419;60;0
